File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13A3_006__1_km_monthly_NDVI_doy2000275_aid0001,_1_km_monthly_NDVI,aid0001,2000-10-01,1035.0,0.0206,0.7488,"(0.0206,0.7488)",0.503,0.101,0.0102,0.5687,0.7488,0.4985,0.2772,0.4443
MOD13A3_006__1_km_monthly_NDVI_doy2000306_aid0001,_1_km_monthly_NDVI,aid0001,2000-11-01,1035.0,-0.0084,0.7029,"(-0.0084,0.7029)",0.4311,0.112,0.0125,0.5058,0.7029,0.419,0.169,0.3656
MOD13A3_006__1_km_monthly_NDVI_doy2000336_aid0001,_1_km_monthly_NDVI,aid0001,2000-12-01,1035.0,-0.0358,0.9101,"(-0.0358,0.9101)",0.3888,0.1509,0.0228,0.4818,0.7285,0.368,0.0742,0.317
MOD13A3_006__1_km_monthly_NDVI_doy2001001_aid0001,_1_km_monthly_NDVI,aid0001,2001-01-01,1035.0,-0.062,0.9559,"(-0.062,0.9559)",0.3493,0.1626,0.0265,0.4412,0.6744,0.3366,0.055,0.2851
MOD13A3_006__1_km_monthly_NDVI_doy2001032_aid0001,_1_km_monthly_NDVI,aid0001,2001-02-01,1035.0,-0.0306,0.7264,"(-0.0306,0.7264)",0.3464,0.1534,0.0235,0.4424,0.6952,0.3251,0.0218,0.2736
MOD13A3_006__1_km_monthly_NDVI_doy2001060_aid0001,_1_km_monthly_NDVI,aid0001,2001-03-01,1035.0,-0.0277,0.7468,"(-0.0277,0.7468)",0.3511,0.155,0.024,0.4478,0.6732,0.3387,0.0407,0.2837
MOD13A3_006__1_km_monthly_NDVI_doy2001091_aid0001,_1_km_monthly_NDVI,aid0001,2001-04-01,1035.0,-0.0441,0.711,"(-0.0441,0.711)",0.4168,0.1386,0.0192,0.5028,0.7076,0.4209,0.1718,0.3647
MOD13A3_006__1_km_monthly_NDVI_doy2001121_aid0001,_1_km_monthly_NDVI,aid0001,2001-05-01,1035.0,0.0386,0.77,"(0.0386,0.77)",0.5099,0.1183,0.014,0.5948,0.77,0.5169,0.213,0.4406
MOD13A3_006__1_km_monthly_NDVI_doy2001152_aid0001,_1_km_monthly_NDVI,aid0001,2001-06-01,1035.0,0.04,0.7611,"(0.04,0.7611)",0.5051,0.1334,0.0178,0.6115,0.7611,0.51,0.1058,0.4074
MOD13A3_006__1_km_monthly_NDVI_doy2001182_aid0001,_1_km_monthly_NDVI,aid0001,2001-07-01,1035.0,0.0753,0.8573,"(0.0753,0.8573)",0.6764,0.094,0.0088,0.748,0.8573,0.6927,0.4211,0.617
MOD13A3_006__1_km_monthly_NDVI_doy2001213_aid0001,_1_km_monthly_NDVI,aid0001,2001-08-01,1035.0,0.1096,0.822,"(0.1096,0.822)",0.6684,0.0871,0.0076,0.7306,0.822,0.681,0.4627,0.6217
MOD13A3_006__1_km_monthly_NDVI_doy2001244_aid0001,_1_km_monthly_NDVI,aid0001,2001-09-01,1035.0,0.0421,0.8124,"(0.0421,0.8124)",0.5719,0.1028,0.0106,0.64,0.8124,0.5699,0.3413,0.5058
MOD13A3_006__1_km_monthly_NDVI_doy2001274_aid0001,_1_km_monthly_NDVI,aid0001,2001-10-01,1035.0,0.0033,0.7183,"(0.0033,0.7183)",0.4754,0.1038,0.0108,0.5478,0.7183,0.4651,0.2092,0.4108
MOD13A3_006__1_km_monthly_NDVI_doy2001305_aid0001,_1_km_monthly_NDVI,aid0001,2001-11-01,1035.0,-0.0433,0.7874,"(-0.0433,0.7874)",0.4215,0.1549,0.024,0.5148,0.7536,0.4143,0.1227,0.3555
MOD13A3_006__1_km_monthly_NDVI_doy2001335_aid0001,_1_km_monthly_NDVI,aid0001,2001-12-01,1035.0,-0.0527,0.8507,"(-0.0527,0.8507)",0.406,0.1528,0.0234,0.4992,0.7397,0.3895,0.0881,0.3345
MOD13A3_006__1_km_monthly_NDVI_doy2002001_aid0001,_1_km_monthly_NDVI,aid0001,2002-01-01,1035.0,-0.0573,0.8022,"(-0.0573,0.8022)",0.3637,0.1597,0.0255,0.4602,0.704,0.3523,0.0391,0.2906
MOD13A3_006__1_km_monthly_NDVI_doy2002032_aid0001,_1_km_monthly_NDVI,aid0001,2002-02-01,1033.0,-0.0575,0.878,"(-0.0575,0.878)",0.3105,0.1622,0.0263,0.4002,0.6233,0.3146,0.029,0.2505
MOD13A3_006__1_km_monthly_NDVI_doy2002060_aid0001,_1_km_monthly_NDVI,aid0001,2002-03-01,1035.0,-0.039,0.8688,"(-0.039,0.8688)",0.3485,0.1682,0.0283,0.4402,0.6522,0.3636,0.097,0.2988
MOD13A3_006__1_km_monthly_NDVI_doy2002091_aid0001,_1_km_monthly_NDVI,aid0001,2002-04-01,1035.0,-0.0271,0.7288,"(-0.0271,0.7288)",0.4317,0.158,0.025,0.5185,0.6967,0.458,0.23,0.3983
