District Name,Year,,Population
,,,
,,,
Attok,2010,,257.8094
,2015,,287.656
,2020,,318.6133
,,,
,,,
Bhakkar,2010,,156.7865
,2015,,174.8839
,2020,,193.6445
,,,
,,,
Bhawalnagar,2010,,303.4711
,2015,,338.0585
,2020,,373.871
,,,
,,,
Bhawalpur,2010,,131.663
,2015,,146.8484
,2020,,162.5883
,,,
,,,
Chakwal,2010,,212.0561
,2015,,236.5087
,2020,,261.8532
,,,
Chiniot,2010,,481.5989
,2015,,537.1337
,2020,,594.6928
,,,
,,,
Dera Ghazi Khan,2010,,181.4871
,2015,,202.4001
,2020,,224.0746
,,,
Faisalabad,2010,,1136.0771
,2015,,1267.0817
,2020,,1402.8624
,,,
Gujranwala,2010,,1176.9027
,2015,,1312.6149
,2020,,1453.275
,,,
Gujrat,2010,,824.6017
,2015,,919.201
,2020,,1017.1851
,,,
Hafizabad,2010,,472.998
,2015,,527.5406
,2020,,584.0724
,,,
Jehlum,2010,,339.7535
,2015,,378.828
,2020,,419.314
,,,
Jhung,2010,,379.1656
,2015,,422.8883
,2020,,468.2052
,,,
Kasur,2010,,781.2444
,2015,,870.503
,2020,,962.9219
,,,
Khanewal,2010,,599.9875
,2015,,669.1741
,2020,,740.8831
,,,
Khushab,2010,,178.2884
,2015,,198.8474
,2020,,220.1559
,,,
Lahore,2010,,4378.541
,2015,,4882.7764
,2020,,5405.3232
,,,
Layyah,2010,,228.1499
,2015,,254.4645
,2020,,281.7397
,,,
Lodhran,2010,,556.1744
,2015,,620.3085
,2020,,686.7809
,,,
Mandi_Bahuddin,2010,,541.0011
,2015,,603.3853
,2020,,668.0447
,,,
Mianwali,2010,,229.1255
,2015,,255.6301
,2020,,283.1173
,,,
Multan,2010,,1055.6975
,2015,,1177.433
,2020,,1303.6072
,,,
Muzaffargarh,2010,,438.244
,2015,,488.7792
,2020,,541.1569
,,,
Nankhana sahib,2010,,609.3109
,2015,,679.5722
,2020,,752.3954
,,,
Narowal,2010,,683.0754
,2015,,759.73
,2020,,838.9901
,,,
Okara,2010,,634.4822
,2015,,707.4639
,2020,,783.0865
,,,
Pakpattan,2010,,562.515
,2015,,627.3802
,2020,,694.6105
,,,
Rahim yar khan,2010,,307.4294
,2015,,342.8431
,2020,,379.542
,,,
Rajanpur,2010,,116.396
,2015,,129.7588
,2020,,143.6015
,,,
Rawalpindi,2010,,796.7171
,2015,,890.3759
,2020,,987.9769
,,,
Sahiwal,2010,,714.8726
,2015,,797.3066
,2020,,882.7464
,,,
Sargodah,2010,,578.2516
,2015,,644.9317
,2020,,714.0427
,,,
Sheikhupura,2010,,914.8119
,2015,,1020.0321
,2020,,1129.0599
,,,
Sialkot,2010,,1120.3351
,2015,,1248.7988
,2020,,1381.876
,,,
Toba tek singh,2010,,661.387
,2015,,737.6533
,2020,,816.7005
,,,
Vehari,2010,,583.3917
,2015,,650.6642
,2020,,720.3898
