District Name,Year,,Winter,,,Summer,
,,,Day,Night,,Day,Night
Chakwal,2010,,20.20974,4.33712,,43.67678,23.94608
,2011,,20.79292,4.7385,,40.32792,25.30966
,2012,,19.6044,5.6969,,46.623,26.299125
,2013,,21.1343,5.61638,,43.21878,25.46982
,2014,,20.24622,4.67964,,41.64862,25.23
,2015,,20.80488,5.5251,,40.20014,23.72032
,2016,,23.07424,7.3298,,39.303,25.301725
,2017,,20.55028,6.0324,,39.45314,25.19954
,2018,,19.43128,5.506,,42.20992,25.5309
,2019,,19.77186667,6.0641,,43.39858,24.7677
,,,,,,,
,,,,,,,
Attok,2010,,18.61656,4.37852,,46.37852,25.07342
,2011,,19.85362,4.95532,,42.45844,25.8981
,2012,,19.07032,5.96244,,48.596975,27.217425
,2013,,20.23536,5.74284,,42.82512,25.82492
,2014,,19.2052,4.93082,,42.6769,25.80738
,2015,,19.0482,5.83518,,41.66878,24.86412
,2016,,21.84202,7.31098,,40.436675,26.244675
,2017,,19.1431,6.38788,,42.23552,26.00592
,2018,,18.0014,5.66956,,43.20202,26.39962
,2019,,18.93266667,6.359666667,,44.1709,25.27606
,,,,,,,
,,,,,,,
Bhakkar,2010,,23.20488,3.61472,,43.90346,24.06496
,2011,,23.33458,4.4882,,43.00588,26.15144
,2012,,23.01658,6.04146,,44.412975,26.79825
,2013,,24.09088,5.70782,,45.76644,26.76626
,2014,,21.63982,5.05602,,43.4487,26.56376
,2015,,24.3128,5.42726,,43.90208,25.57348
,2016,,25.02134,7.8195,,42.1566,26.409425
,2017,,23.84496,5.34434,,43.36482,26.7491
,2018,,22.50396,6.882475,,43.06732,25.81
,2019,,23.7049,6.595866667,,45.03266,25.17214
,,,,,,,
,,,,,,,
Bhawalnagar,2010,,23.82834,6.96998,,41.32368,25.9987
,2011,,23.98522,7.43782,,40.5334,26.78036
,2012,,24.78678,7.91652,,41.300875,27.48945
,2013,,25.21232,8.53554,,43.3586,26.84608
,2014,,25.03156,7.67864,,41.1465,26.68854
,2015,,24.23318,8.43296,,42.3501,25.40118
,2016,,26.49278,10.6454,,43.3753,27.199375
,2017,,24.0764,7.96224,,40.1273,27.07174
,2018,,24.35046,8.18802,,39.8809,26.07642
,2019,,22.9707,8.8121,,43.03398,26.15788
,,,,,,,
,,,,,,,
Bhawalpur,2010,,26.55322,7.61134,,44.91808,28.71338
,2011,,27.586,8.07014,,46.1324,29.5581
,2012,,28.80476,8.90976,,44.841675,30.199
,2013,,28.98856,9.60496,,47.13048,29.57746
,2014,,27.85204,8.34716,,45.2732,29.6852
,2015,,27.59108,8.85016,,47.13692,28.15528
,2016,,30.3701,11.7296,,48.1355,30.905375
,2017,,27.6177,9.10366,,43.54774,29.25654
,2018,,28.64166,8.95502,,44.7482,28.80658
,2019,,26.91423333,9.431666667,,48.68362,28.8862
,,,,,,,
,,,,,,,
Chiniot,2010,,20.45138,5.65698,,38.9598,24.53458
,2011,,20.94596,6.01854,,35.40964,25.38678
,2012,,21.171925,6.89096,,40.646725,26.5856
,2013,,21.9939,7.08264,,39.03334,25.95056
,2014,,20.78476,6.5631,,37.94038,25.98782
,2015,,21.60216,7.22526,,38.36122,24.44008
,2016,,22.52632,8.86148,,36.413875,25.8351
,2017,,21.988,6.28826,,36.34708,25.84978
,2018,,20.59316,7.06386,,36.21516,25.04136
,2019,,21.63223333,7.4569,,37.85986,24.70592
,,,,,,,
,,,,,,,
Dera Ghazi Khan,2010,,21.93994,7.5042,,40.57668,23.73826
,2011,,22.48274,8.33434,,40.14316,26.03286
,2012,,22.64692,8.88418,,42.6112,26.186275
,2013,,22.93006,8.92932,,42.63982,27.77578
,2014,,22.2425,8.58126,,41.23332,26.752
,2015,,22.78168,8.7743,,39.5405,24.57952
,2016,,24.31394,11.627,,41.338625,27.5401
,2017,,22.94864,8.71232,,39.96068,26.52316
,2018,,22.57576,9.36062,,41.73126,25.19224
,2019,,22.33153333,9.484633333,,42.00146,26.09694
,,,,,,,
,,,,,,,
Faisalabad,2010,,20.64974,6.44908,,39.45572,24.8639
,2011,,20.9196,7.03244,,35.38172,26.1469
,2012,,19.50056,7.35084,,40.8926,27.011625
,2013,,22.00718,7.83128,,39.55862,26.23316
,2014,,20.108,7.048,,38.49328,26.06138
,2015,,21.65816,7.95548,,38.40542,24.733
,2016,,23.16138,9.54904,,37.563275,26.64515
,2017,,21.63484,7.32934,,36.47978,26.34038
,2018,,20.6353,7.54462,,36.69588,25.71036
,2019,,20.8953,8.096733333,,39.00516,25.25358
,,,,,,,
,,,,,,,
Gujranwala,2010,,20.08016,6.28764,,40.88288,24.08716
,2011,,20.18584,7.10046,,35.01092,24.73758
,2012,,19.75998,7.13756,,42.47,25.8371
,2013,,20.91914,7.42706,,40.56314,25.48806
,2014,,18.58418,6.87976,,40.7324,24.89958
,2015,,20.82986,7.8035,,39.98908,24.66204
,2016,,21.43226,9.02696,,36.199725,25.47715
,2017,,20.52796,7.19582,,36.65968,25.43932
,2018,,19.49522,7.0491,,39.09756,25.49018
,2019,,19.7724,8.246666667,,41.83838,25.08348
,,,,,,,
,,,,,,,
Gujrat,2010,,19.65728,5.67906,,43.16024,24.35038
,2011,,21.09094,6.29746,,36.0906,24.63926
,2012,,18.53986,7.537125,,46.526075,26.626275
,2013,,20.51542,6.50094,,40.66476,25.6617
,2014,,18.86698,6.17522,,41.54906,24.80152
,2015,,19.21366,7.13642,,40.70058,24.56214
,2016,,21.08084,8.24384,,37.53335,25.6341
,2017,,20.0176,7.2333,,37.2416,25.13742
,2018,,19.08124,6.16292,,41.63994,25.90336
,2019,,18.8193,8.029633333,,43.39402,25.1328
,,,,,,,
,,,,,,,
Hafizabad,2010,,20.27006,6.28934,,41.31422,24.0273
,2011,,20.8914,7.01014,,36.21172,25.11628
,2012,,20.6296,7.0184,,43.09935,26.264225
,2013,,21.71166,7.51414,,40.33992,25.65736
,2014,,20.27164,6.7693,,41.00414,25.39458
,2015,,21.90498,7.5216,,39.9977,24.57148
,2016,,22.4451,8.9358,,37.156275,25.9996
,2017,,22.48722,6.76214,,37.35534,25.64858
,2018,,20.73916,7.04536,,39.13332,25.63718
,2019,,21.96796667,7.6823,,41.9465,24.79768
,,,,,,,
,,,,,,,
Jehlum,2010,,19.61298,6.5176,,42.7988,25.34258
,2011,,21.1279,7.33708,,37.37396,25.79962
,2012,,19.17318,7.9938,,46.181075,27.7586
,2013,,20.69762,7.77384,,40.7014,26.5372
,2014,,19.12248,7.09332,,39.13624,25.83994
,2015,,19.534,8.00652,,39.82804,25.19254
,2016,,22.02972,9.39074,,38.239525,26.44325
,2017,,20.35574,8.18316,,37.5589,25.94986
,2018,,19.07316,7.29124,,41.5983,26.59784
,2019,,19.90936667,8.486666667,,42.34806,26.07558
,,,,,,,
,,,,,,,
Jhung,2010,,21.87448,5.5501,,39.36638,24.64676
,2011,,22.21476,6.06186,,38.79558,26.13742
,2012,,21.65934,6.85996,,40.7992,26.84595
,2013,,22.87096,7.37282,,41.44022,26.5634
,2014,,21.7575,6.40406,,39.01496,26.14836
,2015,,22.90082,7.17994,,39.01144,25.01884
,2016,,23.8212,9.29302,,39.298,26.6746
,2017,,22.57634,6.54628,,37.61126,26.20628
,2018,,21.65202,7.26646,,38.77384,25.14232
,2019,,22.94943333,7.261633333,,39.93192,25.14276
,,,,,,,
,,,,,,,
Kasur,2010,,20.43472,6.56314,,38.923,24.45006
,2011,,20.2965,7.4496,,33.57288,25.02892
,2012,,20.3463,7.29454,,39.631475,26.542725
,2013,,20.77942,7.61318,,37.60948,25.44038
,2014,,18.88866,7.20126,,38.30708,25.5079
,2015,,21.15144,7.88134,,37.6827,24.22324
,2016,,22.30832,9.50662,,36.87805,25.5505
,2017,,20.59412,7.32748,,35.09642,25.37952
,2018,,20.34186,7.18886,,36.58526,24.96648
,2019,,21.01353333,8.2579,,37.95366,24.97714
,,,,,,,
,,,,,,,
Khanewal,2010,,21.20356,6.43648,,37.92868,24.61168
,2011,,21.31988,7.00676,,37.20228,26.4059
,2012,,21.8004,7.36568,,37.545525,26.361275
,2013,,21.86778,8.67322,,38.58422,26.32814
,2014,,21.3785,7.69756,,37.0057,25.80648
,2015,,21.10772,8.2284,,37.5511,24.93666
,2016,,22.28526,10.77462,,38.598375,26.65245
,2017,,20.76338,8.1959,,35.72544,26.31602
,2018,,20.94902,8.60776,,36.9591,25.16522
,2019,,21.07133333,8.708166667,,37.62432,25.06424
,,,,,,,
,,,,,,,
Khushab,2010,,22.01638,4.56748,,42.76234,24.61014
,2011,,22.66006,5.2479,,39.7521,25.35674
,2012,,21.63258,6.45806,,44.4669,27.120625
,2013,,23.54518,6.3199,,43.71354,26.1339
,2014,,21.54148,5.69538,,42.01942,26.30224
,2015,,23.5544,6.1106,,41.80144,24.50794
,2016,,24.69444,8.1591,,40.48885,26.063775
,2017,,23.04486,6.29978,,41.3127,26.23198
,2018,,21.79062,6.49784,,41.41892,25.6797
,2019,,22.92213333,6.940933333,,43.4781,25.28716
,,,,,,,
,,,,,,,
Lahore,2010,,20.30142,7.52072,,39.80064,25.12728
,2011,,20.33138,8.3538,,34.3508,25.65658
