Shape_Leng,Shape_Area,Districts,pop_dens10,pop_dens15,pop_dens20,Longitude,Latitude
4.73969596,0.662449159,Attock,257.809,287.656,318.613,72.360703,33.768051
7.04110429,0.795837096,Bahawalnagar,303.471,338.059,373.871,73.39083,30.55083
9.209631153,2.215948256,Bahawalpur,131.663,146.848,162.588,71.683334,29.395721
4.597273433,0.810268729,Bhakkar,156.786,174.884,193.645,71.0647125,31.6268501
4.686197223,0.640390842,Chakwal,212.056,236.509,261.853,72.8539429,32.9328613
2.652801484,0.248208976,Chiniot,481.599,537.134,594.693,72.97889,31.72
5.561221218,1.097540738,Dera Ghazi Khan,181.487,202.4,224.075,70.640244,30.032486
4.232733864,0.564362484,Faisalabad,1136.08,1267.08,1402.86,73.08333,31.41667
3.011248041,0.346323865,Gujranwala,1176.9,1312.61,1453.28,74.1959,32.166351
2.47489074,0.305605887,Gujrat,824.602,919.201,1017.19,74.07897,32.57284
2.149366316,0.21706849,Hafizabad,472.998,527.541,584.072,73.68545,32.06786
5.09175904,0.60093424,Jhang,379.166,422.888,468.205,72.32842,31.27154
3.970045645,0.348110607,Jhelum,339.754,378.828,419.314,73.72637,32.93313
3.412110752,0.373350736,Kasur,781.244,870.503,962.922,74.44667,31.11556
4.164045229,0.409264476,Khanewal,599.987,669.174,740.883,71.93203,30.286415
4.037487653,0.633368795,Khushab,178.288,198.847,220.156,72.349724,32.294445
2.153982032,0.164002063,Lahore,4378.54,4882.78,5405.32,74.329376,31.582045
3.998346222,0.602268944,Layyah,228.15,254.464,281.74,70.93904,30.96128
3.492217934,0.24805912,Lodhran,556.174,620.308,686.781,71.63357,29.54051
2.634601797,0.264605273,Mandi Bahauddin,541.001,603.385,668.045,73.48431,32.58339
4.194988966,0.579590852,Mianwali,229.126,255.63,283.117,71.5284729,32.5775604
4.037523949,0.340656979,Multan,1055.7,1177.43,1303.61,71.492157,30.181459
6.060796138,0.717348965,Muzaffargarh,438.244,488.779,541.157,71.19213,30.07537
4.272415113,0.263365444,Nankana Sahib,609.311,679.572,752.395,73.708305,31.452097
2.422402374,0.22586761,Narowal,683.075,759.73,838.99,74.874733,32.099476
4.068353208,0.416256462,Okara,634.482,707.464,783.086,73.44583,30.80806
3.771242866,0.270911008,Pakpattan,562.515,627.38,694.61,73.38664,30.34104
7.048712756,1.186231994,Rahim Yar Khan,307.429,342.843,379.542,70.3034515,28.4198704
6.248361535,1.162055719,Rajanpur,116.396,129.759,143.602,70.32504,29.10351
5.445047249,0.505410608,Rawalpindi,796.717,890.376,987.977,73.071442,33.626057
4.258482648,0.303047215,Sahiwal,714.873,797.307,882.746,73.1,30.66667
4.658209698,0.55208708,Sargodha,578.252,644.932,714.043,72.67111,32.08361
4.038062575,0.288586655,Sheikhupura,914.812,1020.03,1129.06,73.97833,31.71306
2.887316439,0.293671965,Sialkot,1120.34,1248.8,1381.88,74.53134,32.49268
3.719636136,0.289912203,Toba Tek Singh,661.387,737.653,816.701,72.652359,30.894875
4.945328216,0.419416557,Vehari,583.392,650.664,720.39,72.348869,30.045246
