District,Total_corona_cases_March,Total_corona_death_March,Total_corona_recoveries_March,Total_corona_cases_April,Total_corona_death_April,Total_corona_recoveries_April,Total_corona_cases_June,Total_corona_death_June,Total_corona_recoveries_june,Latitude_1,Longitud_1,TotalPopul,Population_Density,Area
Abbottabad,2.000000,1.000000,0.000000,29.000000,2.000000,15.000000,201.000000,9.000000,21.000000,34.150000,73.213800,1332912.000000,756.808978,1761.22646355000
Attock,1.000000,0.000000,0.000000,14.000000,0.000000,0.000000,24.000000,0.000000,0.000000,33.772000,72.368000,1883556.000000,275.435069,6838.47561201000
Awaran,0.000000,0.000000,0.000000,6.000000,0.000000,0.000000,23.000000,0.000000,0.000000,26.474900,65.267900,48750.000000,1.949503,25006.37190710000
Badin,0.000000,0.000000,0.000000,14.000000,0.000000,1.000000,22.000000,4.000000,10.000000,24.650000,68.833000,1804522.000000,268.313449,6725.42509070000
Bahawalnagar,1.000000,0.000000,0.000000,20.000000,0.000000,4.000000,45.000000,7.000000,12.000000,30.550000,73.390000,2981919.000000,347.947532,8570.02487087000
Bahawalpur,1.000000,0.000000,0.000000,53.000000,0.000000,4.000000,74.000000,8.000000,24.000000,29.396200,71.686900,3668106.000000,152.884495,23992.66196620000
Bajaur,2.000000,0.000000,0.000000,10.000000,1.000000,5.000000,178.000000,11.000000,47.000000,34.782749,71.532708,1093684.000000,802.985393,1362.02228443000
Bannu,1.000000,0.000000,0.000000,28.000000,1.000000,19.000000,50.000000,1.000000,7.000000,32.989000,70.606000,1167842.000000,987.792762,1182.27430404000
Barkhan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,29.899500,69.524600,171556.000000,49.139733,3491.18706963000
Batagram,1.000000,0.000000,0.000000,20.000000,0.000000,0.000000,77.000000,3.000000,29.000000,34.676834,73.027550,476612.000000,350.630496,1359.29990521000
Bhakkar,0.000000,0.000000,0.000000,63.000000,0.000000,0.000000,83.000000,5.000000,0.000000,31.625000,71.065000,1650518.000000,193.588175,8525.92363454000
Buner,5.000000,0.000000,0.000000,78.000000,1.000000,35.000000,60.000000,3.000000,32.000000,34.490828,72.518118,897337.000000,516.251191,1738.17904001000
Chagai,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,29.305800,64.694500,226008.000000,5.048376,44768.45626890000
Chakwal,1.000000,0.000000,0.000000,5.000000,0.000000,1.000000,15.000000,5.000000,10.000000,32.933000,72.866000,1495982.000000,224.708186,6657.44326122000
Charsadda,2.000000,0.000000,0.000000,39.000000,2.000000,18.000000,162.000000,4.000000,18.000000,34.145000,71.731000,1616198.000000,1632.783595,989.84213514000
Chiniot,0.000000,0.000000,0.000000,8.000000,0.000000,0.000000,18.000000,0.000000,0.000000,31.720000,72.978000,1369740.000000,523.505225,2616.47818124000
Chitral,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,35.852287,71.787107,447362.000000,30.537180,14649.74822650000
Dadu,1.000000,0.000000,0.000000,17.000000,0.000000,8.000000,23.000000,0.000000,11.000000,26.733000,67.783000,1550266.000000,193.978199,7991.95995673000
Dera Bugti,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,29.030700,69.151000,312603.000000,30.460861,10262.44786690000
Dera Ghazi Khan,35.000000,0.000000,2.000000,212.000000,6.000000,180.000000,514.000000,28.000000,200.000000,30.056000,70.634000,2872201.000000,245.753931,11687.30440010000
Dera Ismail Khan,18.000000,0.000000,10.000000,58.000000,2.000000,50.000000,65.000000,2.000000,60.000000,31.832000,70.902000,1627132.000000,220.492838,7379.52313858000
