District,Pop_2010,Pop_2015,Pop_2020,Latitude,Longitude,area_km_2,AbsPop_10,AbsPop_15,AbsPop_20
Attock,257.80940000000,287.65600000000,318.61330000000,33.768051,72.360703,6858.000000,1768056.865200,1972744.848000,2185050.011400
Bahawalnagar,303.47110000000,338.05850000000,373.87100000000,30.550830,73.390830,8878.000000,2694216.425800,3001283.363000,3319226.738000
Bahawalpur,131.66300000000,146.84840000000,162.58830000000,29.395721,71.683334,24830.000000,3269192.290000,3646245.772000,4037067.489000
Bhakkar,156.78650000000,174.88390000000,193.64450000000,31.626850,71.064712,8153.000000,1278280.334500,1425828.436700,1578783.608500
Chakwal,212.05610000000,236.50870000000,261.85320000000,32.932861,72.853943,6524.000000,1383453.996400,1542982.758800,1708330.276800
Chiniot,481.59890000000,537.13370000000,594.69280000000,31.720000,72.978890,2643.000000,1272865.892700,1419644.369100,1571773.070400
Dera Ghazi Khan,181.48710000000,202.40010000000,224.07460000000,30.032486,70.640244,11922.000000,2163689.206200,2413013.992200,2671417.381200
Faisalabad,1136.07710000000,1267.08170000000,1402.86240000000,31.416670,73.083330,5856.000000,6652867.497600,7420030.435200,8215162.214400
Gujranwala,1176.90270000000,1312.61490000000,1453.27500000000,32.166351,74.195900,3622.000000,4262741.579400,4754291.167800,5263762.050000
Gujrat,824.60170000000,919.20100000000,1017.18510000000,32.572840,74.078970,3192.000000,2632128.626400,2934089.592000,3246854.839200
Hafizabad,472.99800000000,527.54060000000,584.07240000000,32.067860,73.685450,2367.000000,1119586.266000,1248688.600200,1382499.370800
Jhang,379.16560000000,422.88830000000,468.20520000000,31.271540,72.328420,8809.000000,3340069.770400,3725223.034700,4124419.606800
Jhelum,339.75350000000,378.82800000000,419.31400000000,32.933130,73.726370,3587.000000,1218695.804500,1358856.036000,1504079.318000
Kasur,781.24440000000,870.50300000000,962.92190000000,31.115560,74.446670,4796.000000,3746848.142400,4174932.388000,4618173.432400
Khanewal,599.98750000000,669.17410000000,740.88310000000,30.286415,71.932030,4349.000000,2609345.637500,2910238.160900,3222100.601900
Khushab,178.28840000000,198.84740000000,220.15590000000,32.294445,72.349724,6511.000000,1160835.772400,1294695.421400,1433435.064900
Lahore,4378.54100000000,4882.77640000000,5405.32320000000,31.582045,74.329376,1772.000000,7758774.652000,8652279.780800,9578232.710400
Layyah,228.14990000000,254.46450000000,281.73970000000,30.961280,70.939040,6291.000000,1435291.020900,1600836.169500,1772424.452700
Lodhran,556.17440000000,620.30850000000,686.78090000000,29.540510,71.633570,2778.000000,1545052.483200,1723217.013000,1907877.340200
Mandi Bahauddin,541.00110000000,603.38530000000,668.04470000000,32.583390,73.484310,2673.000000,1446095.940300,1612848.906900,1785683.483100
Mianwali,229.12550000000,255.63010000000,283.11730000000,32.577560,71.528473,5840.000000,1338092.920000,1492879.784000,1653405.032000
Multan,1055.69750000000,1177.43300000000,1303.60720000000,30.181459,71.492157,3720.000000,3927194.700000,4380050.760000,4849418.784000
Muzaffargarh,438.24400000000,488.77920000000,541.15690000000,30.075370,71.192130,8249.000000,3615074.756000,4031939.620800,4464003.268100
Nankana Sahib,609.31090000000,679.57220000000,752.39540000000,31.452097,73.708305,2960.000000,1803560.264000,2011533.712000,2227090.384000
Narowal,683.07540000000,759.73000000000,838.99010000000,32.099476,74.874733,2337.000000,1596347.209800,1775489.010000,1960719.863700
Okara,634.48220000000,707.46390000000,783.08650000000,30.808060,73.445830,3004.000000,1905984.528800,2125221.555600,2352391.846000
Pakpattan,562.51500000000,627.38020000000,694.61050000000,30.341040,73.386640,2724.000000,1532290.860000,1708983.664800,1892119.002000
Rahim Yar Khan,307.42940000000,342.84310000000,379.54200000000,28.419870,70.303451,11880.000000,3652261.272000,4072976.028000,4508958.960000
Rajanpur,116.39600000000,129.75880000000,143.60150000000,29.103510,70.325040,12319.000000,1433882.324000,1598498.657200,1769026.878500
Rawalpindi,796.71710000000,890.37590000000,987.97690000000,33.626057,73.071442,5286.000000,4211446.590600,4706527.007400,5222445.893400
Sahiwal,714.87260000000,797.30660000000,882.74640000000,30.666670,73.100000,3201.000000,2288307.192600,2552178.426600,2825671.226400
Sargodha,578.25160000000,644.93170000000,714.04270000000,32.083610,72.671110,5854.000000,3385084.866400,3775430.171800,4180005.965800
Sheikhupura,914.81190000000,1020.03210000000,1129.05990000000,31.713060,73.978330,3030.000000,2771880.057000,3090697.263000,3421051.497000
Sialkot,1120.33510000000,1248.79880000000,1381.87600000000,32.492680,74.531340,3016.000000,3378930.661600,3766377.180800,4167738.016000
Toba Tek Singh,661.38700000000,737.65330000000,816.70050000000,30.894875,72.652359,3252.000000,2150830.524000,2398848.531600,2655910.026000
Vehari,583.39170000000,650.66420000000,720.38980000000,30.045246,72.348869,4364.000000,2545921.378800,2839498.568800,3143781.087200
